player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Emmanuel Biumla,AN,/en/players/e5a94f46/Emmanuel-Biumla,-1.61,e5a94f46,https://fbref.com/req/202302030/images/headshots/e5a94f46_2022.jpg,AN,/en/players/e5a94f46/Emmanuel-Biumla,-1.21,e5a94f46
Abakar Sylla,ST,/en/players/29c91632/Abakar-Sylla,-1.68,29c91632,https://fbref.com/req/202302030/images/headshots/29c91632_2022.jpg,ST,/en/players/29c91632/Abakar-Sylla,-1.43,29c91632
Andrew Omobamidele,ST,/en/players/c393a6c4/Andrew-Omobamidele,-1.78,c393a6c4,https://fbref.com/req/202302030/images/headshots/c393a6c4_2022.jpg,ST,/en/players/c393a6c4/Andrew-Omobamidele,-1.3,c393a6c4
Saidou Sow,ST,/en/players/f6b94e8d/Saidou-Sow,-1.86,f6b94e8d,https://fbref.com/req/202302030/images/headshots/f6b94e8d_2022.jpg,NA,/en/players/f6b94e8d/Saidou-Sow,-1.09,f6b94e8d
Saidou Sow,ST,/en/players/f6b94e8d/Saidou-Sow,-1.86,f6b94e8d,https://fbref.com/req/202302030/images/headshots/f6b94e8d_2022.jpg,ST,/en/players/f6b94e8d/Saidou-Sow,-1.45,f6b94e8d
Willian Pacho,PA,/en/players/ecbe2839/Willian-Pacho,-1.9,ecbe2839,https://fbref.com/req/202302030/images/headshots/ecbe2839_2022.jpg,PA,/en/players/ecbe2839/Willian-Pacho,-1.43,ecbe2839
Anthony Lopes,NA,/en/players/f00de885/Anthony-Lopes,-2.14,f00de885,https://fbref.com/req/202302030/images/headshots/f00de885_2022.jpg,NA,/en/players/f00de885/Anthony-Lopes,-1.3,f00de885
Matvei Safonov,PA,/en/players/d97b252e/Matvei-Safonov,-2.19,d97b252e,https://fbref.com/req/202302030/images/headshots/d97b252e_2022.jpg,PA,/en/players/d97b252e/Matvei-Safonov,-1.28,d97b252e
Mathieu Gorgelin,LE,/en/players/4d3e9033/Mathieu-Gorgelin,-2.21,4d3e9033,https://fbref.com/req/202302030/images/headshots/4d3e9033_2022.jpg,LE,/en/players/4d3e9033/Mathieu-Gorgelin,-1.27,4d3e9033
Brice Samba,RE,/en/players/60d90c55/Brice-Samba,-2.21,60d90c55,https://fbref.com/req/202302030/images/headshots/60d90c55_2022.jpg,RE,/en/players/60d90c55/Brice-Samba,-1.28,60d90c55
