player,team_x,url_x,pass_metric,id_x,headshot_url,team_y,url_y,carry_metric,id_y
Julian Brandt,DO,/en/players/a167537f/Julian-Brandt,1.33,a167537f,https://fbref.com/req/202302030/images/headshots/a167537f_2022.jpg,DO,/en/players/a167537f/Julian-Brandt,0.64,a167537f
Xavi Simons,RB,/en/players/da4d670f/Xavi-Simons,1.3,da4d670f,https://fbref.com/req/202302030/images/headshots/da4d670f_2022.jpg,RB,/en/players/da4d670f/Xavi-Simons,1.38,da4d670f
Benedict Hollerbach,UN,/en/players/2a158218/Benedict-Hollerbach,1.24,2a158218,https://fbref.com/req/202302030/images/headshots/2a158218_2022.jpg,UN,/en/players/2a158218/Benedict-Hollerbach,2.43,2a158218
Bernardo,BO,/en/players/17370b95/Bernardo,1.21,17370b95,https://fbref.com/req/202302030/images/headshots/17370b95_2022.jpg,BO,/en/players/17370b95/Bernardo,-0.54,17370b95
Kaishu Sano,MA,/en/players/7a7a6361/Kaishu-Sano,1.21,7a7a6361,https://fbref.com/req/202302030/images/headshots/7a7a6361_2022.jpg,MA,/en/players/7a7a6361/Kaishu-Sano,-0.13,7a7a6361
Lee Jae-sung,MA,/en/players/34b0387f/Lee-Jae-sung,1.21,34b0387f,https://fbref.com/req/202302030/images/headshots/34b0387f_2022.jpg,MA,/en/players/34b0387f/Lee-Jae-sung,-0.13,34b0387f
Nick Woltemade,ST,/en/players/7ca196eb/Nick-Woltemade,1.18,7ca196eb,https://fbref.com/req/202302030/images/headshots/7ca196eb_2022.jpg,ST,/en/players/7ca196eb/Nick-Woltemade,0.31,7ca196eb
Victor Boniface,LE,/en/players/b146275b/Victor-Boniface,1.18,b146275b,https://fbref.com/req/202302030/images/headshots/b146275b_2022.jpg,LE,/en/players/b146275b/Victor-Boniface,1.44,b146275b
Jamie Leweling,ST,/en/players/13fe7b69/Jamie-Leweling,1.17,13fe7b69,https://fbref.com/req/202302030/images/headshots/13fe7b69_2022.jpg,ST,/en/players/13fe7b69/Jamie-Leweling,1.88,13fe7b69
Sirlord Conteh,HE,/en/players/34e09d5f/Sirlord-Conteh,1.15,34e09d5f,https://fbref.com/req/202302030/images/headshots/34e09d5f_2022.jpg,HE,/en/players/34e09d5f/Sirlord-Conteh,2.66,34e09d5f
Rasmus Kristensen,EI,/en/players/39769cff/Rasmus-Kristensen,1.15,39769cff,https://fbref.com/req/202302030/images/headshots/39769cff_2022.jpg,EI,/en/players/39769cff/Rasmus-Kristensen,0.01,39769cff
Tomáš Čvančara,GL,/en/players/298c8aa1/Tomas-Cvancara,1.15,298c8aa1,https://fbref.com/req/202302030/images/headshots/298c8aa1_2022.jpg,GL,/en/players/298c8aa1/Tomas-Cvancara,0.51,298c8aa1
Marcel Sabitzer,DO,/en/players/e280527c/Marcel-Sabitzer,1.1,e280527c,https://fbref.com/req/202302030/images/headshots/e280527c_2022.jpg,DO,/en/players/e280527c/Marcel-Sabitzer,-0.21,e280527c
Ritsu Doan,FR,/en/players/d01bbb6f/Ritsu-Doan,1.09,d01bbb6f,https://fbref.com/req/202302030/images/headshots/d01bbb6f_2022.jpg,FR,/en/players/d01bbb6f/Ritsu-Doan,0.71,d01bbb6f
Jamal Musiala,BA,/en/players/2c0558b8/Jamal-Musiala,1.09,2c0558b8,https://fbref.com/req/202302030/images/headshots/2c0558b8_2022.jpg,BA,/en/players/2c0558b8/Jamal-Musiala,1.2,2c0558b8
Michael Olise,BA,/en/players/c4486bac/Michael-Olise,1.09,c4486bac,https://fbref.com/req/202302030/images/headshots/c4486bac_2022.jpg,BA,/en/players/c4486bac/Michael-Olise,1.18,c4486bac
Christopher Trimmel,UN,/en/players/056d2d95/Christopher-Trimmel,1.07,056d2d95,https://fbref.com/req/202302030/images/headshots/056d2d95_2022.jpg,UN,/en/players/056d2d95/Christopher-Trimmel,-0.04,056d2d95
Kevin Stöger,GL,/en/players/e5649a78/Kevin-Stoger,1.06,e5649a78,https://fbref.com/req/202302030/images/headshots/e5649a78_2022.jpg,GL,/en/players/e5649a78/Kevin-Stoger,0.14,e5649a78
Anthony Losilla,BO,/en/players/07c7eb0c/Anthony-Losilla,1.06,07c7eb0c,https://fbref.com/req/202302030/images/headshots/07c7eb0c_2022.jpg,BO,/en/players/07c7eb0c/Anthony-Losilla,-0.93,07c7eb0c
Jacob Bruun Larsen,ST,/en/players/4e204552/Jacob-Bruun-Larsen,1.04,4e204552,https://fbref.com/req/202302030/images/headshots/4e204552_2022.jpg,ST,/en/players/4e204552/Jacob-Bruun-Larsen,2.9,4e204552
Jacob Bruun Larsen,ST,/en/players/4e204552/Jacob-Bruun-Larsen,1.04,4e204552,https://fbref.com/req/202302030/images/headshots/4e204552_2022.jpg,HO,/en/players/4e204552/Jacob-Bruun-Larsen,1.41,4e204552
András Schäfer,UN,/en/players/049751d7/Andras-Schafer,1.04,049751d7,https://fbref.com/req/202302030/images/headshots/049751d7_2022.jpg,UN,/en/players/049751d7/Andras-Schafer,0.1,049751d7
Ibrahima Sissoko,BO,/en/players/0f8418aa/Ibrahima-Sissoko,1.04,0f8418aa,https://fbref.com/req/202302030/images/headshots/0f8418aa_2022.jpg,BO,/en/players/0f8418aa/Ibrahima-Sissoko,0.21,0f8418aa
Justin Njinmah,WE,/en/players/a45241d5/Justin-Njinmah,1.03,a45241d5,https://fbref.com/req/202302030/images/headshots/a45241d5_2022.jpg,WE,/en/players/a45241d5/Justin-Njinmah,1.96,a45241d5
Shuto Machino,HO,/en/players/964dde35/Shuto-Machino,1.0,964dde35,https://fbref.com/req/202302030/images/headshots/964dde35_2022.jpg,HO,/en/players/964dde35/Shuto-Machino,0.11,964dde35
Jan Schöppner,HE,/en/players/932bfcac/Jan-Schoppner,0.96,932bfcac,https://fbref.com/req/202302030/images/headshots/932bfcac_2022.jpg,HE,/en/players/932bfcac/Jan-Schoppner,0.01,932bfcac
Marco Grüll,WE,/en/players/8babb812/Marco-Grull,0.94,8babb812,https://fbref.com/req/202302030/images/headshots/8babb812_2022.jpg,WE,/en/players/8babb812/Marco-Grull,0.54,8babb812
Rocco Reitz,GL,/en/players/cc971106/Rocco-Reitz,0.92,cc971106,https://fbref.com/req/202302030/images/headshots/cc971106_2022.jpg,GL,/en/players/cc971106/Rocco-Reitz,-0.65,cc971106
Noah Weißhaupt,FR,/en/players/dd676a97/Noah-Weisshaupt,0.91,dd676a97,https://fbref.com/req/202302030/images/headshots/dd676a97_2022.jpg,FR,/en/players/dd676a97/Noah-Weisshaupt,2.06,dd676a97
Noah Weißhaupt,FR,/en/players/dd676a97/Noah-Weisshaupt,0.91,dd676a97,https://fbref.com/req/202302030/images/headshots/dd676a97_2022.jpg,ST,/en/players/dd676a97/Noah-Weisshaupt,1.78,dd676a97
Granit Xhaka,LE,/en/players/e61b8aee/Granit-Xhaka,0.91,e61b8aee,https://fbref.com/req/202302030/images/headshots/e61b8aee_2022.jpg,LE,/en/players/e61b8aee/Granit-Xhaka,-0.79,e61b8aee
Marius Wolf,AU,/en/players/fa661778/Marius-Wolf,0.87,fa661778,https://fbref.com/req/202302030/images/headshots/fa661778_2022.jpg,AU,/en/players/fa661778/Marius-Wolf,0.29,fa661778
Fabian Rieder,ST,/en/players/c2bd8585/Fabian-Rieder,0.86,c2bd8585,https://fbref.com/req/202302030/images/headshots/c2bd8585_2022.jpg,ST,/en/players/c2bd8585/Fabian-Rieder,0.52,c2bd8585
Gio Reyna,DO,/en/players/7fa4e703/Gio-Reyna,0.85,7fa4e703,https://fbref.com/req/202302030/images/headshots/7fa4e703_2022.jpg,DO,/en/players/7fa4e703/Gio-Reyna,-0.04,7fa4e703
Angelo Stiller,ST,/en/players/3b1ed320/Angelo-Stiller,0.85,3b1ed320,https://fbref.com/req/202302030/images/headshots/3b1ed320_2022.jpg,ST,/en/players/3b1ed320/Angelo-Stiller,-0.77,3b1ed320
Robin Hack,GL,/en/players/0174ba21/Robin-Hack,0.82,0174ba21,https://fbref.com/req/202302030/images/headshots/0174ba21_2022.jpg,GL,/en/players/0174ba21/Robin-Hack,0.66,0174ba21
Benedikt Pichler,HO,/en/players/c184c8c8/Benedikt-Pichler,0.8,c184c8c8,https://fbref.com/req/202302030/images/headshots/c184c8c8_2022.jpg,HO,/en/players/c184c8c8/Benedikt-Pichler,1.55,c184c8c8
Salih Özcan,WO,/en/players/15413fa5/Salih-Ozcan,0.8,15413fa5,https://fbref.com/req/202302030/images/headshots/15413fa5_2022.jpg,DO,/en/players/15413fa5/Salih-Ozcan,0.67,15413fa5
Salih Özcan,WO,/en/players/15413fa5/Salih-Ozcan,0.8,15413fa5,https://fbref.com/req/202302030/images/headshots/15413fa5_2022.jpg,WO,/en/players/15413fa5/Salih-Ozcan,-0.08,15413fa5
László Bénes,UN,/en/players/fe888e39/Laszlo-Benes,0.79,fe888e39,https://fbref.com/req/202302030/images/headshots/fe888e39_2022.jpg,UN,/en/players/fe888e39/Laszlo-Benes,-0.65,fe888e39
Loïs Openda,RB,/en/players/8652a85c/Lois-Openda,0.78,8652a85c,https://fbref.com/req/202302030/images/headshots/8652a85c_2022.jpg,RB,/en/players/8652a85c/Lois-Openda,1.99,8652a85c
Tim Kleindienst,GL,/en/players/258a6f4d/Tim-Kleindienst,0.75,258a6f4d,https://fbref.com/req/202302030/images/headshots/258a6f4d_2022.jpg,GL,/en/players/258a6f4d/Tim-Kleindienst,0.6,258a6f4d
Mattias Svanberg,WO,/en/players/92d83c27/Mattias-Svanberg,0.73,92d83c27,https://fbref.com/req/202302030/images/headshots/92d83c27_2022.jpg,WO,/en/players/92d83c27/Mattias-Svanberg,-0.65,92d83c27
Maximilian Eggestein,FR,/en/players/beb882a8/Maximilian-Eggestein,0.72,beb882a8,https://fbref.com/req/202302030/images/headshots/beb882a8_2022.jpg,FR,/en/players/beb882a8/Maximilian-Eggestein,-0.48,beb882a8
Jens Stage,WE,/en/players/1fffae99/Jens-Stage,0.72,1fffae99,https://fbref.com/req/202302030/images/headshots/1fffae99_2022.jpg,WE,/en/players/1fffae99/Jens-Stage,-0.4,1fffae99
Nicolas Seiwald,RB,/en/players/28c6e925/Nicolas-Seiwald,0.72,28c6e925,https://fbref.com/req/202302030/images/headshots/28c6e925_2022.jpg,RB,/en/players/28c6e925/Nicolas-Seiwald,-0.78,28c6e925
Jacob Bruun Larsen,HO,/en/players/4e204552/Jacob-Bruun-Larsen,0.71,4e204552,https://fbref.com/req/202302030/images/headshots/4e204552_2022.jpg,ST,/en/players/4e204552/Jacob-Bruun-Larsen,2.9,4e204552
Jacob Bruun Larsen,HO,/en/players/4e204552/Jacob-Bruun-Larsen,0.71,4e204552,https://fbref.com/req/202302030/images/headshots/4e204552_2022.jpg,HO,/en/players/4e204552/Jacob-Bruun-Larsen,1.41,4e204552
El Chadaille Bitshiabu,RB,/en/players/2180c761/El-Chadaille-Bitshiabu,0.71,2180c761,https://fbref.com/req/202302030/images/headshots/2180c761_2022.jpg,RB,/en/players/2180c761/El-Chadaille-Bitshiabu,-0.91,2180c761
Enzo Millot,ST,/en/players/f76022e7/Enzo-Millot,0.7,f76022e7,https://fbref.com/req/202302030/images/headshots/f76022e7_2022.jpg,ST,/en/players/f76022e7/Enzo-Millot,-0.15,f76022e7
Maximilian Wittek,BO,/en/players/edb2712b/Maximilian-Wittek,0.69,edb2712b,https://fbref.com/req/202302030/images/headshots/edb2712b_2022.jpg,BO,/en/players/edb2712b/Maximilian-Wittek,0.35,edb2712b
Thomas Müller,BA,/en/players/3c6089ab/Thomas-Muller,0.68,3c6089ab,https://fbref.com/req/202302030/images/headshots/3c6089ab_2022.jpg,BA,/en/players/3c6089ab/Thomas-Muller,0.17,3c6089ab
Omar Traoré,HE,/en/players/f44e8a73/Omar-Traore,0.68,f44e8a73,https://fbref.com/req/202302030/images/headshots/f44e8a73_2022.jpg,HE,/en/players/f44e8a73/Omar-Traore,1.92,f44e8a73
Carlo Boukhalfa,ST,/en/players/1a86f4a9/Carlo-Boukhalfa,0.67,1a86f4a9,https://fbref.com/req/202302030/images/headshots/1a86f4a9_2022.jpg,ST,/en/players/1a86f4a9/Carlo-Boukhalfa,-0.22,1a86f4a9
Kristijan Jakić,AU,/en/players/a8ee54ad/Kristijan-Jakic,0.67,a8ee54ad,https://fbref.com/req/202302030/images/headshots/a8ee54ad_2022.jpg,AU,/en/players/a8ee54ad/Kristijan-Jakic,0.03,a8ee54ad
Mohamed Amoura,WO,/en/players/6597f8b6/Mohamed-Amoura,0.67,6597f8b6,https://fbref.com/req/202302030/images/headshots/6597f8b6_2022.jpg,WO,/en/players/6597f8b6/Mohamed-Amoura,2.53,6597f8b6
Philipp Hofmann,BO,/en/players/877bc844/Philipp-Hofmann,0.61,877bc844,https://fbref.com/req/202302030/images/headshots/877bc844_2022.jpg,BO,/en/players/877bc844/Philipp-Hofmann,-1.0,877bc844
