id,index,x,y,under_pressure,shot_one_on_one,end_x,end_y,goal,goal_smf,x0,c,angle,distance,body_part_name_Head,body_part_name_Left Foot,body_part_name_Other,body_part_name_Right Foot,technique_name_Backheel,technique_name_Diving Header,technique_name_Half Volley,technique_name_Lob,technique_name_Normal,technique_name_Overhead Kick,technique_name_Volley,gk_distance,gk_distance_y,close_players,triangle,gk_dist_to_goal
c20837e2-b9c1-4f13-81c5-d2bc873be02a,1442,23.537499999999994,40.970000000000006,0,0,95.5,47.8,0,0,81.4625,6.970000000000006,16.300053271878685,24.5478065466143,False,True,False,False,False,False,False,False,True,False,False,21.25215518482773,6.290000000000013,1,1,3.3081424168254867
68d0971d-d5af-4bd6-8b3c-94317bc4d32f,1461,10.0625,24.055,0,0,109.3,29.3,0,0,94.9375,9.945,21.523965805379767,14.147682893322143,False,False,False,True,False,False,False,False,True,False,False,10.687200288195216,7.224999999999994,2,1,3.4904951296341946
a3a56b19-fbae-4237-aa99-f412c90e5fa7,1600,23.362499999999997,33.15,0,0,118.3,36.9,0,0,81.6375,0.8500000000000014,17.784714498982687,23.377957700577692,False,False,False,True,False,False,False,False,True,False,False,22.491515761504377,0.42500000000000426,1,2,0.9727538229171847
2dbaa532-cb0f-44ea-95bc-577a6e90154d,1626,20.125,35.870000000000005,0,0,120.0,39.8,0,0,84.875,1.8700000000000045,20.447417103765186,20.211692779181067,False,False,False,True,False,False,False,False,True,False,False,19.056058911800204,1.615000000000009,0,2,1.1657320661284067
8ebf7bc3-921d-4483-8228-bd86ef74b705,1778,15.837500000000006,38.335,0,0,120.0,38.4,0,0,89.1625,4.335000000000001,24.3448174470271,16.420067942916685,False,False,False,True,False,False,False,False,True,False,False,13.577514500084327,4.080000000000005,2,2,2.898737871902186
2f527b6f-aee1-47e2-adec-ca9b4dee06b6,1946,17.237499999999997,34.425,0,0,118.8,37.9,0,0,87.7625,0.42499999999999716,23.9613800252929,17.242738507847292,False,True,False,False,False,False,True,False,False,False,False,16.384563047271048,0.8499999999999943,0,4,0.9727538229171847
2ff6b6b3-6258-4611-819a-74aefa3aece3,1949,4.987499999999997,25.415,0,0,117.7,42.8,0,0,100.0125,8.585,23.199739699979876,9.928614266351573,False,True,False,False,False,False,False,False,True,False,False,6.734101647584475,5.524999999999999,0,1,3.2645836258242826
27717d2a-5065-472d-93d8-52ddb6c74be3,1967,7.875,29.154999999999994,0,0,120.0,46.8,0,0,97.125,4.845000000000006,38.64515108801425,9.246061323612345,True,False,False,False,False,False,False,False,True,False,False,7.935839983895853,3.5700000000000074,1,2,1.4985930902016023
cdd91c4c-b03d-4cd6-9449-d027bf340b4a,2049,10.237499999999997,49.214999999999996,0,0,120.0,44.2,0,0,94.7625,15.214999999999996,13.065603587347553,18.338555865989008,False,False,False,True,False,False,False,False,True,False,False,14.478624114535188,11.729999999999997,0,1,3.899708322426178
6c24aaf5-9476-4a0f-9328-68970cd405ae,2196,14.612499999999997,40.29,0,0,105.1,46.8,0,0,90.3875,6.289999999999999,24.048858781887773,15.908779219349293,False,False,False,True,False,False,False,False,True,False,False,14.23724626639576,4.844999999999992,1,2,1.8943732472773172
