id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,firstName,lastName,fullName,teamColor,matchId,teamName,oppositeTeam,shortName
2715719645,Miss,9906,440330,Alexander Sørloth,96.7017543851,41.888125,81,,False,False,,,25.7071875,3.1335172432,0.049921080470085144,0.0,Header,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.3778594105678865, 'zoomRatio': 0.4558164072804012}",False,True,Alexander,Sørloth,Alexander Sørloth,#C63527,4506776,Atletico,Athletic Club,
2715733589,Goal,9906,432950,Ángel Correa,97.0877192975,26.774047619,90,2.0,False,True,,,33.2375,0.160526315,0.8924949169158936,0.9951905012130737,RightFoot,FastBreak,SecondHalf,False,"{'x': 1.2017195767195774, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,Ángel,Correa,Ángel Correa,#C63527,4506776,Atletico,Athletic Club,
2715738621,AttemptSaved,9906,440330,Alexander Sørloth,86.6749999996,37.50750000000001,90,7.0,False,True,93.2,36.21125,35.448750000000004,0.20547368320000003,0.42359647154808044,0.4170945882797241,LeftFoot,FastBreak,SecondHalf,False,"{'x': 0.6167328042328032, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,False,Alexander,Sørloth,Alexander Sørloth,#C63527,4506776,Atletico,Athletic Club,
2715469427,Miss,8634,93447,Robert Lewandowski,102.155172414,41.483437499999994,4,,False,False,100.732758621,26.516562500000003,21.547006373000002,0.8925263114,0.1577734351158142,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.07167162676971635, 'zoomRatio': 0.303541470687368}",False,True,Robert,Lewandowski,Robert Lewandowski,#971e48,4506777,Barcelona,Real Valladoid,
2715469455,Post,8634,614834,Dani Olmo,101.3017241382,25.53375,4,,False,False,,,30.267999999999997,1.9519999904,0.47449517250061035,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.987301587301587, 'y': 0.5164021138624338, 'zoomRatio': 1}",False,True,Dani,Olmo,Dani Olmo,#971e48,4506777,Barcelona,Real Valladoid,
2715469503,AttemptSaved,8634,696679,Raphinha,95.4473684198,37.78,4,,True,True,97.0877192975,37.58375000000001,33.61875,1.2199999940000001,0.07652358710765839,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Raphinha,Raphinha,#971e48,4506777,Barcelona,Real Valladoid,
2715479771,AttemptSaved,8634,696679,Raphinha,81.0208737872,36.135000000000005,10,,False,True,103.103448276,34.38125,33.8475,0.28252631440000003,0.04946501553058624,0.0153434406965971,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.0403439153439162, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,False,,Raphinha,Raphinha,#971e48,4506777,Barcelona,Real Valladoid,
2715487851,AttemptSaved,8634,93447,Robert Lewandowski,86.99705882319999,36.5925,14,,False,True,103.9568965518,35.0675,33.77125,0.160526315,0.0878729596734047,0.061889734119176865,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0605158730158726, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,False,Robert,Lewandowski,Robert Lewandowski,#971e48,4506777,Barcelona,Real Valladoid,
2715493541,AttemptSaved,8634,282676,Inigo Martinez,95.9298245603,38.368333335,16,,True,True,98.24561403470001,37.708,35.143750000000004,1.2199999940000001,0.053821541368961334,0.0,LeftFoot,SetPiece,FirstHalf,False,"{'x': 0.6974206349206338, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Inigo,Martinez,Inigo Martinez,#971e48,4506777,Barcelona,Real Valladoid,
2715493647,AttemptSaved,8634,93447,Robert Lewandowski,100.06896551759999,35.83,17,,True,True,101.3965517244,35.6775,35.143750000000004,1.2199999940000001,0.2209450900554657,0.0,Header,SetPiece,FirstHalf,False,"{'x': 0.6974206349206338, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,Robert,Lewandowski,Robert Lewandowski,#971e48,4506777,Barcelona,Real Valladoid,
2715499875,Goal,8634,696679,Raphinha,96.605263157,29.295476189000002,20,,False,True,,,36.66875,0.0834736838,0.40182700753211975,0.8893394470214844,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.29398148148148073, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,,Raphinha,Raphinha,#971e48,4506777,Barcelona,Real Valladoid,
2715507447,Goal,8634,93447,Robert Lewandowski,92.4,39.292857143999996,24,,False,True,,,32.9325,0.9374736796,0.4083728790283203,0.11149372905492783,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.282407407407408, 'y': 0.24800890994708993, 'zoomRatio': 1}",False,True,Robert,Lewandowski,Robert Lewandowski,#971e48,4506777,Barcelona,Real Valladoid,
2715510739,Miss,10281,888167,Kike Pérez,92.6,30.797499999999996,26,,False,False,,,27.53047619,1.6951578864,0.13402684032917023,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.2620220492549668, 'zoomRatio': 0.5842779331234892}",False,True,Kike,Pérez,Kike Pérez,#63257E,4506777,Real Valladoid,Barcelona,
2715527897,AttemptSaved,10281,1169596,Raul Moro,100.25862069,44.1408917151,37,,False,True,102.629310345,40.637619048000005,35.6775,0.3659999982,0.33577093482017517,0.3398497998714447,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.5562169312169307, 'y': 0.09682539634920634, 'zoomRatio': 1}",False,True,Raul,Moro,Raul Moro,#63257E,4506777,Real Valladoid,Barcelona,
2715532567,AttemptSaved,8634,614834,Dani Olmo,76.966504856,24.5597452279,39,,False,True,103.103448276,32.09375,34.4575,1.6630526234,0.022720858454704285,0.032816775143146515,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.8789682539682532, 'y': 0.4399610114814815, 'zoomRatio': 1}",False,False,Dani,Olmo,Dani Olmo,#971e48,4506777,Barcelona,Real Valladoid,
