,playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,stats,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,teamId
0,81681,27,Joel Robles,GK,195,78,34,True,False,home,"{'totalSaves': {'84': 1.0}, 'collected': {'84': 1.0}, 'claimsHigh': {'15': 1.0}, 'possession': {'3': 1.0, '5': 1.0, '8': 1.0, '11': 1.0, '14': 1.0, '15': 1.0, '17': 1.0, '21': 1.0, '26': 1.0, '27': 1.0, '31': 1.0, '38': 1.0, '39': 1.0, '42': 1.0, '44': 1.0, '49': 1.0, '51': 2.0, '52': 1.0, '56': 1.0, '57': 1.0, '60': 2.0, '65': 1.0, '67': 1.0, '72': 1.0, '75': 2.0, '77': 1.0, '79': 2.0, '81': 1.0, '84': 1.0, '86': 1.0, '87': 1.0, '88': 1.0, '93': 1.0, '95': 1.0}, 'ratings': {'0': 6.0, '3': 5.98, '5': 5.97, '8': 5.96, '11': 5.95, '14': 5.94, '15': 6.05, '17': 6.04, '21': 6.03, '23': 5.77, '26': 5.76, '27': 5.75, '30': 5.48, '31': 5.47, '38': 5.46, '39': 5.46, '42': 5.51, '44': 5.5, '47': 5.55, '49': 5.56, '51': 5.56, '52': 5.57, '56': 5.58, '57': 5.59, '60': 5.6, '65': 5.6, '67': 5.61, '72': 5.6, '75': 5.61, '77': 5.62, '79': 5.62, '81': 5.6, '84': 5.8, '86': 5.81, '87': 5.81, '88': 5.82, '93': 5.82, '94': 5.42, '95': 5.43}, 'clearances': {'42': 1.0, '47': 1.0}, 'touches': {'3': 1.0, '5': 1.0, '8': 1.0, '11': 1.0, '14': 1.0, '15': 2.0, '17': 1.0, '21': 1.0, '26': 1.0, '27': 1.0, '31': 1.0, '38': 1.0, '39': 1.0, '42': 2.0, '44': 1.0, '47': 1.0, '49': 1.0, '51': 2.0, '52': 1.0, '56': 1.0, '57': 1.0, '60': 2.0, '65': 1.0, '67': 1.0, '72': 1.0, '75': 2.0, '77': 1.0, '79': 2.0, '81': 1.0, '84': 2.0, '86': 1.0, '87': 1.0, '88': 1.0, '93': 1.0, '95': 1.0}, 'passesTotal': {'15': 1.0, '39': 1.0, '42': 1.0, '49': 1.0, '51': 2.0, '56': 1.0, '57': 1.0, '60': 2.0, '65': 1.0, '67': 1.0, '75': 2.0, '79': 2.0, '86': 1.0, '87': 1.0, '93': 1.0, '95': 1.0, '3': 1.0, '5': 1.0, '8': 1.0, '11': 1.0, '14': 1.0, '17': 1.0, '21': 1.0, '26': 1.0, '27': 1.0, '31': 1.0, '38': 1.0, '44': 1.0, '72': 1.0, '81': 1.0, '84': 1.0}, 'passesAccurate': {'15': 1.0, '39': 1.0, '42': 1.0, '49': 1.0, '51': 2.0, '56': 1.0, '57': 1.0, '60': 2.0, '65': 1.0, '67': 1.0, '75': 2.0, '79': 2.0, '86': 1.0, '87': 1.0, '93': 1.0, '95': 1.0}, 'passSuccess': {'15': 100.0, '39': 100.0, '42': 100.0, '49': 100.0, '51': 100.0, '56': 100.0, '57': 100.0, '60': 100.0, '65': 100.0, '67': 100.0, '75': 100.0, '79': 100.0, '86': 100.0, '87': 100.0, '93': 100.0, '95': 100.0, '3': 0.0, '5': 0.0, '8': 0.0, '11': 0.0, '14': 0.0, '17': 0.0, '21': 0.0, '26': 0.0, '27': 0.0, '31': 0.0, '38': 0.0, '44': 0.0, '72': 0.0, '81': 0.0, '84': 0.0}}",,,,,,,2188
1,381521,24,Pedro Amaral,DR,178,72,27,True,False,home,"{'possession': {'3': 1.0, '8': 1.0, '18': 1.0, '23': 1.0, '42': 1.0, '43': 1.0, '45': 2.0, '49': 1.0, '51': 1.0, '57': 1.0, '58': 1.0, '59': 1.0, '65': 2.0, '67': 2.0, '70': 2.0, '75': 1.0, '76': 1.0, '79': 1.0}, 'ratings': {'0': 5.97, '3': 5.97, '4': 6.07, '5': 6.1, '8': 6.1, '9': 6.2, '15': 6.25, '16': 6.3, '18': 6.3, '22': 6.29, '23': 6.11, '30': 5.95, '34': 5.93, '42': 5.92, '43': 5.93, '45': 5.93, '49': 6.02, '51': 6.02, '57': 6.01, '58': 6.01, '59': 6.01, '65': 6.0, '66': 5.98, '67': 5.98, '70': 6.0, '73': 6.05, '75': 6.05, '76': 6.03, '79': 6.03, '83': 6.08}, 'clearances': {'15': 1.0, '16': 1.0, '83': 1.0}, 'interceptions': {'4': 1.0, '9': 1.0}, 'touches': {'0': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '8': 1.0, '9': 1.0, '15': 1.0, '16': 1.0, '18': 1.0, '23': 1.0, '32': 1.0, '33': 1.0, '36': 1.0, '42': 1.0, '43': 1.0, '45': 2.0, '49': 2.0, '51': 1.0, '57': 1.0, '58': 1.0, '59': 1.0, '65': 3.0, '66': 1.0, '67': 3.0, '69': 1.0, '70': 2.0, '73': 2.0, '75': 1.0, '76': 2.0, '79': 1.0, '82': 1.0, '83': 1.0}, 'passesTotal': {'3': 1.0, '8': 1.0, '18': 1.0, '43': 1.0, '45': 2.0, '51': 1.0, '58': 1.0, '65': 2.0, '67': 2.0, '70': 2.0, '75': 1.0, '79': 1.0, '23': 1.0, '42': 1.0, '49': 1.0, '57': 1.0, '59': 1.0}, 'passesAccurate': {'3': 1.0, '8': 1.0, '18': 1.0, '43': 1.0, '45': 2.0, '51': 1.0, '58': 1.0, '65': 1.0, '67': 2.0, '70': 2.0, '75': 1.0, '79': 1.0}, 'passSuccess': {'3': 100.0, '8': 100.0, '18': 100.0, '43': 100.0, '45': 100.0, '51': 100.0, '58': 100.0, '65': 50.0, '67': 100.0, '70': 100.0, '75': 100.0, '79': 100.0, '23': 0.0, '42': 0.0, '49': 0.0, '57': 0.0, '59': 0.0}, 'cornersTotal': {'59': 1.0}, 'throwInsTotal': {'33': 1.0, '36': 1.0, '65': 1.0, '69': 1.0}, 'throwInsAccurate': {'36': 1.0, '65': 1.0}, 'offsidesCaught': {'22': 1.0}, 'foulsCommited': {'34': 1.0}, 'tacklesTotal': {'49': 2.0, '73': 1.0}, 'tackleSuccessful': {'49': 1.0, '73': 1.0}, 'tackleUnsuccesful': {'49': 1.0}, 'tackleSuccess': {'49': 50.0, '73': 100.0}, 'dribbledPast': {'49': 1.0}, 'dribblesAttempted': {'66': 1.0, '76': 1.0}, 'dribblesLost': {'66': 1.0, '76': 1.0}}",447210.0,"{'value': 2, 'displayName': 'SecondHalf'}",86.0,,,,2188
2,401109,44,Kévin Boma,DC,193,73,21,True,False,home,"{'possession': {'6': 1.0, '16': 1.0, '42': 1.0, '43': 3.0, '44': 1.0, '45': 1.0, '51': 1.0, '52': 1.0, '58': 1.0, '60': 1.0, '65': 2.0, '67': 2.0, '68': 1.0, '93': 1.0}, 'ratings': {'0': 6.0, '1': 5.98, '6': 5.99, '9': 5.97, '13': 6.1, '14': 6.19, '16': 6.18, '23': 5.98, '30': 5.78, '35': 5.91, '42': 5.91, '43': 5.92, '44': 5.93, '45': 5.93, '51': 5.93, '52': 5.93, '58': 5.93, '59': 5.98, '60': 5.99, '65': 5.97, '67': 5.98, '68': 5.95, '73': 6.04, '84': 6.17, '89': 6.14, '93': 6.14, '94': 5.94}, 'shotsTotal': {'59': 1.0}, 'shotsOffTarget': {'59': 1.0}, 'clearances': {'13': 1.0, '35': 1.0, '84': 1.0}, 'touches': {'6': 1.0, '13': 1.0, '14': 1.0, '15': 1.0, '16': 1.0, '35': 1.0, '42': 1.0, '43': 3.0, '44': 1.0, '45': 1.0, '51': 1.0, '52': 1.0, '58': 1.0, '59': 1.0, '60': 1.0, '65': 2.0, '67': 2.0, '68': 2.0, '73': 2.0, '82': 1.0, '84': 1.0, '89': 1.0, '93': 1.0}, 'passesTotal': {'6': 1.0, '42': 1.0, '43': 3.0, '44': 1.0, '45': 1.0, '51': 1.0, '52': 1.0, '58': 1.0, '60': 1.0, '65': 2.0, '67': 2.0, '68': 1.0, '93': 1.0, '16': 1.0}, 'passesAccurate': {'6': 1.0, '42': 1.0, '43': 3.0, '44': 1.0, '45': 1.0, '51': 1.0, '52': 1.0, '58': 1.0, '60': 1.0, '65': 1.0, '67': 2.0, '68': 1.0, '93': 1.0}, 'passSuccess': {'6': 100.0, '42': 100.0, '43': 100.0, '44': 100.0, '45': 100.0, '51': 100.0, '52': 100.0, '58': 100.0, '60': 100.0, '65': 50.0, '67': 100.0, '68': 100.0, '93': 100.0, '16': 0.0}, 'aerialsTotal': {'13': 1.0, '35': 1.0, '59': 1.0, '84': 1.0, '1': 1.0}, 'aerialsWon': {'13': 1.0, '35': 1.0, '59': 1.0, '84': 1.0}, 'aerialSuccess': {'1': 0.0}, 'offensiveAerials': {'59': 1.0}, 'defensiveAerials': {'1': 1.0, '13': 1.0, '35': 1.0, '84': 1.0}, 'foulsCommited': {'9': 1.0}, 'tacklesTotal': {'73': 2.0}, 'tackleSuccessful': {'73': 1.0}, 'tackleUnsuccesful': {'73': 1.0}, 'tackleSuccess': {'73': 50.0}, 'dribbledPast': {'73': 1.0}, 'dribblesAttempted': {'73': 1.0}, 'dribblesLost': {'73': 1.0}, 'dispossessed': {'68': 1.0}}",,,,,,,2188
3,436897,23,Pedro Álvaro,DC,186,83,24,True,False,home,"{'possession': {'3': 2.0, '18': 1.0, '21': 1.0, '27': 1.0, '33': 1.0, '39': 1.0, '42': 2.0, '43': 1.0, '44': 1.0, '51': 2.0, '52': 1.0, '57': 2.0, '58': 1.0, '60': 3.0, '65': 1.0, '66': 1.0, '67': 2.0, '68': 2.0, '70': 1.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0, '87': 1.0}, 'ratings': {'0': 6.0, '1': 6.05, '3': 6.05, '5': 6.1, '7': 6.07, '12': 6.12, '16': 6.32, '18': 6.32, '19': 6.37, '21': 6.37, '23': 6.26, '27': 6.25, '30': 6.05, '33': 6.04, '39': 6.04, '42': 6.05, '43': 6.06, '44': 6.05, '46': 6.1, '51': 6.1, '52': 6.1, '57': 6.1, '58': 6.11, '60': 6.12, '62': 6.1, '64': 6.15, '65': 6.15, '66': 6.16, '67': 6.17, '68': 6.17, '70': 6.17, '72': 6.19, '75': 6.19, '76': 6.19, '78': 6.19, '79': 6.2, '80': 6.25, '82': 6.33, '87': 6.2, '90': 6.25, '91': 6.3, '94': 6.1}, 'clearances': {'1': 1.0, '5': 1.0, '12': 1.0, '19': 1.0, '46': 1.0, '64': 1.0, '80': 1.0, '90': 1.0, '91': 1.0}, 'interceptions': {'16': 1.0}, 'touches': {'1': 1.0, '3': 2.0, '5': 1.0, '8': 1.0, '12': 1.0, '16': 1.0, '18': 1.0, '19': 1.0, '21': 1.0, '23': 1.0, '27': 1.0, '33': 1.0, '39': 1.0, '42': 2.0, '43': 1.0, '44': 1.0, '46': 1.0, '51': 2.0, '52': 1.0, '57': 2.0, '58': 1.0, '60': 3.0, '64': 1.0, '65': 1.0, '66': 1.0, '67': 2.0, '68': 2.0, '70': 1.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0, '80': 1.0, '82': 1.0, '84': 1.0, '87': 1.0, '88': 1.0, '90': 1.0, '91': 1.0}, 'passesTotal': {'3': 2.0, '18': 1.0, '21': 1.0, '39': 1.0, '42': 2.0, '43': 1.0, '51': 2.0, '52': 1.0, '57': 2.0, '58': 1.0, '60': 3.0, '65': 1.0, '66': 1.0, '67': 2.0, '68': 2.0, '70': 1.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0, '27': 1.0, '33': 1.0, '44': 1.0, '87': 1.0}, 'passesAccurate': {'3': 2.0, '18': 1.0, '21': 1.0, '39': 1.0, '42': 2.0, '43': 1.0, '51': 2.0, '52': 1.0, '57': 2.0, '58': 1.0, '60': 3.0, '65': 1.0, '66': 1.0, '67': 2.0, '68': 2.0, '70': 1.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0}, 'passSuccess': {'3': 100.0, '18': 100.0, '21': 100.0, '39': 100.0, '42': 100.0, '43': 100.0, '51': 100.0, '52': 100.0, '57': 100.0, '58': 100.0, '60': 100.0, '65': 100.0, '66': 100.0, '67': 100.0, '68': 100.0, '70': 100.0, '75': 100.0, '76': 100.0, '78': 100.0, '79': 100.0, '27': 0.0, '33': 0.0, '44': 0.0, '87': 0.0}, 'foulsCommited': {'62': 1.0, '87': 1.0}, 'tacklesTotal': {'7': 1.0}, 'tackleUnsuccesful': {'7': 1.0}, 'dribbledPast': {'7': 1.0}}",,,,,,,2188
4,492313,20,Wagner Pina,DL,180,73,21,True,False,home,"{'possession': {'3': 2.0, '6': 1.0, '9': 1.0, '11': 1.0, '15': 1.0, '16': 1.0, '17': 1.0, '28': 1.0, '39': 1.0, '42': 1.0, '45': 3.0, '51': 1.0, '57': 2.0, '58': 3.0, '60': 3.0, '65': 1.0, '66': 1.0, '68': 2.0, '70': 2.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0}, 'ratings': {'0': 6.0, '3': 6.1, '5': 6.18, '6': 6.18, '7': 6.3, '9': 6.3, '11': 6.31, '15': 6.38, '16': 6.37, '17': 6.37, '19': 6.42, '23': 6.22, '28': 6.34, '30': 6.18, '33': 6.28, '35': 6.33, '38': 6.41, '39': 6.41, '42': 6.4, '43': 6.48, '45': 6.66, '49': 6.62, '51': 6.62, '55': 6.76, '56': 6.72, '57': 6.73, '58': 6.74, '60': 6.82, '65': 6.82, '66': 6.93, '68': 6.93, '70': 6.94, '75': 6.94, '76': 6.94, '78': 6.93, '79': 6.94, '80': 7.02, '88': 7.09, '91': 7.14, '92': 7.19, '94': 7.02}, 'clearances': {'35': 1.0, '91': 1.0}, 'interceptions': {'3': 1.0, '33': 1.0, '66': 1.0, '88': 1.0}, 'touches': {'3': 3.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 4.0, '9': 1.0, '11': 1.0, '15': 3.0, '16': 1.0, '17': 1.0, '19': 1.0, '23': 1.0, '28': 3.0, '33': 1.0, '35': 1.0, '38': 2.0, '39': 1.0, '42': 2.0, '43': 1.0, '45': 4.0, '49': 1.0, '51': 1.0, '55': 1.0, '56': 1.0, '57': 2.0, '58': 3.0, '60': 3.0, '65': 1.0, '66': 2.0, '68': 2.0, '70': 2.0, '71': 1.0, '75': 1.0, '76': 1.0, '78': 1.0, '79': 3.0, '80': 1.0, '88': 3.0, '91': 1.0, '92': 1.0}, 'passesTotal': {'3': 2.0, '9': 1.0, '11': 1.0, '15': 1.0, '17': 1.0, '39': 1.0, '45': 3.0, '51': 1.0, '57': 2.0, '58': 3.0, '60': 2.0, '65': 1.0, '66': 1.0, '68': 2.0, '70': 2.0, '75': 1.0, '76': 1.0, '79': 3.0, '6': 1.0, '16': 1.0, '28': 1.0, '42': 1.0, '78': 1.0}, 'passesAccurate': {'3': 1.0, '9': 1.0, '11': 1.0, '15': 1.0, '17': 1.0, '39': 1.0, '45': 3.0, '51': 1.0, '57': 2.0, '58': 3.0, '60': 2.0, '65': 1.0, '66': 1.0, '68': 2.0, '70': 2.0, '75': 1.0, '76': 1.0, '79': 3.0}, 'passSuccess': {'3': 50.0, '9': 100.0, '11': 100.0, '15': 100.0, '17': 100.0, '39': 100.0, '45': 100.0, '51': 100.0, '57': 100.0, '58': 100.0, '60': 100.0, '65': 100.0, '66': 100.0, '68': 100.0, '70': 100.0, '75': 100.0, '76': 100.0, '79': 100.0, '6': 0.0, '16': 0.0, '28': 0.0, '42': 0.0, '78': 0.0}, 'aerialsTotal': {'15': 1.0}, 'defensiveAerials': {'15': 1.0}, 'throwInsTotal': {'4': 1.0, '7': 1.0, '28': 1.0, '38': 1.0, '42': 1.0}, 'throwInsAccurate': {'7': 1.0, '28': 1.0, '42': 1.0}, 'tacklesTotal': {'28': 1.0, '55': 1.0, '38': 1.0, '19': 1.0}, 'tackleSuccessful': {'28': 1.0, '55': 1.0, '38': 1.0}, 'tackleUnsuccesful': {'19': 1.0}, 'tackleSuccess': {'28': 100.0, '55': 100.0, '38': 100.0, '19': 0.0}, 'dribbledPast': {'19': 1.0}, 'dribblesWon': {'7': 1.0, '45': 1.0}, 'dribblesAttempted': {'7': 2.0, '45': 1.0}, 'dribblesLost': {'7': 1.0}, 'dribbleSuccess': {'7': 50.0, '45': 100.0}, 'dispossessed': {'7': 1.0, '88': 1.0}}",,,,,,,2188
5,417914,7,Vinicius Zanocelo,MC,184,73,23,True,False,home,"{'possession': {'3': 1.0, '4': 2.0, '6': 1.0, '7': 1.0, '8': 2.0, '9': 1.0, '17': 2.0, '31': 1.0, '42': 3.0, '43': 3.0, '45': 5.0, '58': 3.0, '60': 1.0, '67': 2.0, '68': 1.0, '73': 2.0, '75': 4.0, '76': 2.0, '77': 1.0, '79': 1.0, '88': 1.0}, 'ratings': {'0': 6.08, '1': 6.13, '3': 6.13, '4': 6.15, '6': 6.14, '7': 6.15, '8': 6.15, '9': 6.15, '17': 6.15, '19': 6.2, '20': 6.15, '23': 5.99, '30': 5.85, '31': 5.85, '41': 5.95, '42': 5.97, '43': 5.98, '45': 5.99, '46': 5.95, '58': 5.96, '60': 5.95, '67': 5.96, '68': 5.96, '73': 5.96, '75': 5.98, '76': 5.98, '77': 5.96, '79': 5.96, '82': 5.93, '88': 5.92, '94': 5.78}, 'clearances': {'1': 1.0, '19': 1.0}, 'interceptions': {'41': 1.0}, 'touches': {'0': 2.0, '1': 1.0, '3': 1.0, '4': 2.0, '6': 1.0, '7': 1.0, '8': 2.0, '9': 1.0, '17': 2.0, '19': 1.0, '31': 2.0, '41': 1.0, '42': 3.0, '43': 3.0, '45': 5.0, '49': 1.0, '50': 1.0, '58': 3.0, '60': 1.0, '67': 2.0, '68': 1.0, '73': 2.0, '75': 4.0, '76': 2.0, '77': 1.0, '79': 1.0, '88': 2.0}, 'passesTotal': {'3': 1.0, '4': 2.0, '7': 1.0, '8': 2.0, '9': 1.0, '17': 2.0, '42': 3.0, '43': 3.0, '45': 5.0, '58': 3.0, '67': 2.0, '68': 1.0, '73': 2.0, '75': 4.0, '76': 2.0, '79': 1.0, '6': 1.0, '31': 1.0, '60': 1.0, '77': 1.0, '88': 1.0}, 'passesAccurate': {'3': 1.0, '4': 2.0, '7': 1.0, '8': 1.0, '9': 1.0, '17': 2.0, '42': 3.0, '43': 3.0, '45': 5.0, '58': 3.0, '67': 2.0, '68': 1.0, '73': 1.0, '75': 4.0, '76': 2.0, '79': 1.0}, 'passSuccess': {'3': 100.0, '4': 100.0, '7': 100.0, '8': 50.0, '9': 100.0, '17': 100.0, '42': 100.0, '43': 100.0, '45': 100.0, '58': 100.0, '67': 100.0, '68': 100.0, '73': 50.0, '75': 100.0, '76': 100.0, '79': 100.0, '6': 0.0, '31': 0.0, '60': 0.0, '77': 0.0, '88': 0.0}, 'foulsCommited': {'20': 1.0, '76': 1.0}, 'tacklesTotal': {'0': 1.0, '20': 1.0, '23': 1.0, '46': 1.0, '82': 1.0}, 'tackleSuccessful': {'0': 1.0}, 'tackleUnsuccesful': {'20': 1.0, '23': 1.0, '46': 1.0, '82': 1.0}, 'tackleSuccess': {'0': 100.0, '20': 0.0, '23': 0.0, '46': 0.0, '82': 0.0}, 'dribbledPast': {'20': 1.0, '23': 1.0, '46': 1.0, '82': 1.0}}",,,,,,,2188
6,397470,6,Jandro Orellana,MC,177,63,24,True,False,home,"{'possession': {'3': 1.0, '7': 1.0, '9': 2.0, '15': 1.0, '23': 1.0, '33': 1.0, '42': 1.0, '43': 3.0, '45': 1.0}, 'ratings': {'0': 6.0, '3': 6.08, '4': 6.22, '7': 6.2, '9': 6.2, '15': 6.2, '17': 6.19, '23': 6.19, '30': 6.06, '33': 6.05, '42': 6.05, '43': 6.06, '45': 6.06}, 'touches': {'3': 2.0, '4': 1.0, '7': 1.0, '9': 2.0, '15': 1.0, '23': 3.0, '33': 1.0, '42': 1.0, '43': 3.0, '45': 1.0}, 'passesTotal': {'3': 1.0, '9': 2.0, '15': 1.0, '23': 1.0, '42': 1.0, '43': 3.0, '45': 1.0, '7': 1.0, '33': 1.0}, 'passesAccurate': {'3': 1.0, '9': 1.0, '15': 1.0, '23': 1.0, '42': 1.0, '43': 3.0, '45': 1.0}, 'passSuccess': {'3': 100.0, '9': 50.0, '15': 100.0, '23': 100.0, '42': 100.0, '43': 100.0, '45': 100.0, '7': 0.0, '33': 0.0}, 'aerialsTotal': {'17': 1.0}, 'offensiveAerials': {'17': 1.0}, 'tacklesTotal': {'4': 1.0, '23': 1.0, '3': 1.0}, 'tackleSuccessful': {'4': 1.0, '23': 1.0, '3': 1.0}, 'tackleSuccess': {'4': 100.0, '23': 100.0, '3': 100.0}}",408941.0,"{'value': 2, 'displayName': 'SecondHalf'}",49.0,,,,2188
7,496968,8,Michel,MC,170,62,22,True,False,home,"{'possession': {'8': 1.0, '9': 1.0, '22': 1.0, '23': 1.0, '27': 1.0, '38': 1.0, '43': 1.0, '45': 2.0, '52': 1.0, '58': 1.0, '66': 1.0, '67': 3.0, '68': 1.0, '81': 1.0, '88': 1.0, '93': 1.0, '96': 1.0}, 'ratings': {'0': 6.0, '4': 5.97, '7': 5.96, '8': 5.97, '9': 5.97, '20': 6.07, '22': 6.08, '23': 5.95, '26': 5.92, '27': 5.95, '30': 5.82, '32': 5.78, '38': 5.78, '39': 5.75, '43': 5.75, '45': 5.75, '46': 5.71, '50': 5.75, '51': 5.7, '52': 5.7, '56': 5.77, '58': 5.77, '63': 5.7, '66': 5.7, '67': 5.71, '68': 5.75, '81': 5.84, '88': 5.84, '91': 5.89, '93': 5.88, '94': 5.75, '96': 5.76}, 'clearances': {'7': 1.0, '20': 2.0, '91': 1.0}, 'touches': {'4': 2.0, '7': 4.0, '8': 2.0, '9': 1.0, '20': 2.0, '22': 1.0, '23': 1.0, '27': 2.0, '33': 1.0, '36': 1.0, '38': 1.0, '39': 1.0, '43': 1.0, '45': 2.0, '50': 1.0, '51': 1.0, '52': 1.0, '54': 1.0, '56': 1.0, '58': 1.0, '63': 2.0, '66': 1.0, '67': 3.0, '68': 2.0, '79': 1.0, '81': 1.0, '88': 1.0, '91': 1.0, '93': 1.0, '96': 1.0}, 'passesTotal': {'9': 1.0, '22': 1.0, '23': 1.0, '27': 1.0, '38': 1.0, '43': 1.0, '45': 2.0, '52': 1.0, '58': 1.0, '66': 1.0, '67': 3.0, '68': 1.0, '81': 1.0, '88': 1.0, '96': 1.0, '8': 1.0, '93': 1.0}, 'passesAccurate': {'9': 1.0, '22': 1.0, '23': 1.0, '27': 1.0, '38': 1.0, '43': 1.0, '45': 1.0, '52': 1.0, '58': 1.0, '66': 1.0, '67': 3.0, '68': 1.0, '81': 1.0, '88': 1.0, '96': 1.0}, 'passesKey': {'81': 1.0}, 'passSuccess': {'9': 100.0, '22': 100.0, '23': 100.0, '27': 100.0, '38': 100.0, '43': 100.0, '45': 50.0, '52': 100.0, '58': 100.0, '66': 100.0, '67': 100.0, '68': 100.0, '81': 100.0, '88': 100.0, '96': 100.0, '8': 0.0, '93': 0.0}, 'aerialsTotal': {'8': 1.0, '26': 1.0}, 'offensiveAerials': {'8': 1.0, '26': 1.0}, 'foulsCommited': {'26': 1.0, '51': 1.0, '56': 1.0}, 'tacklesTotal': {'56': 1.0, '32': 1.0, '46': 1.0, '63': 1.0}, 'tackleSuccessful': {'56': 1.0}, 'tackleUnsuccesful': {'32': 1.0, '46': 1.0, '63': 1.0}, 'tackleSuccess': {'56': 100.0, '32': 0.0, '46': 0.0, '63': 0.0}, 'dribbledPast': {'32': 1.0, '46': 1.0, '63': 1.0}, 'dispossessed': {'7': 2.0, '63': 1.0}}",,,,,,,2188
8,496967,17,Fabrício Garcia,FWR,172,64,23,True,False,home,"{'possession': {'23': 1.0, '26': 1.0, '31': 1.0, '43': 1.0, '49': 1.0, '51': 1.0, '52': 1.0, '58': 2.0, '59': 1.0, '60': 2.0, '70': 1.0}, 'ratings': {'0': 6.0, '18': 5.83, '23': 5.75, '26': 5.75, '30': 5.67, '31': 5.66, '40': 5.79, '42': 5.75, '43': 5.76, '44': 5.74, '49': 5.75, '51': 5.75, '52': 5.74, '53': 5.62, '55': 5.66, '57': 5.69, '58': 5.7, '59': 5.7, '60': 5.69, '64': 5.67, '70': 5.76}, 'shotsTotal': {'40': 1.0}, 'shotsOffTarget': {'40': 1.0}, 'touches': {'18': 1.0, '22': 1.0, '23': 1.0, '26': 1.0, '31': 1.0, '36': 1.0, '40': 2.0, '42': 1.0, '43': 1.0, '49': 1.0, '51': 1.0, '52': 1.0, '55': 1.0, '57': 1.0, '58': 2.0, '59': 1.0, '60': 2.0, '64': 2.0, '70': 1.0}, 'passesTotal': {'23': 1.0, '26': 1.0, '31': 1.0, '43': 1.0, '49': 1.0, '51': 1.0, '58': 2.0, '59': 1.0, '60': 2.0, '70': 1.0, '52': 1.0}, 'passesAccurate': {'23': 1.0, '26': 1.0, '31': 1.0, '43': 1.0, '49': 1.0, '51': 1.0, '58': 2.0, '59': 1.0, '60': 1.0, '70': 1.0}, 'passesKey': {'70': 1.0}, 'passSuccess': {'23': 100.0, '26': 100.0, '31': 100.0, '43': 100.0, '49': 100.0, '51': 100.0, '58': 100.0, '59': 100.0, '60': 50.0, '70': 100.0, '52': 0.0}, 'aerialsTotal': {'44': 1.0}, 'defensiveAerials': {'44': 1.0}, 'offsidesCaught': {'31': 1.0}, 'foulsCommited': {'53': 1.0}, 'tacklesTotal': {'40': 1.0}, 'tackleSuccessful': {'40': 1.0}, 'tackleSuccess': {'40': 100.0}, 'dribblesAttempted': {'64': 1.0}, 'dribblesLost': {'64': 1.0}, 'dispossessed': {'42': 1.0}}",515727.0,"{'value': 2, 'displayName': 'SecondHalf'}",75.0,,,,2188
9,411017,9,Alejandro Marqués,FW,189,76,24,True,False,home,"{'possession': {'18': 1.0, '20': 1.0, '21': 1.0, '70': 1.0, '73': 1.0, '79': 2.0, '96': 1.0}, 'ratings': {'0': 6.0, '1': 5.98, '6': 5.97, '8': 5.95, '11': 5.93, '15': 6.0, '18': 6.0, '20': 6.0, '21': 6.09, '23': 6.02, '28': 5.99, '30': 5.92, '31': 5.91, '35': 5.96, '45': 5.94, '60': 5.89, '70': 5.89, '73': 5.9, '79': 5.88, '81': 5.85, '92': 5.9, '94': 5.83, '95': 5.88, '96': 5.89}, 'clearances': {'35': 1.0, '92': 1.0}, 'touches': {'12': 1.0, '15': 1.0, '18': 1.0, '20': 1.0, '21': 1.0, '28': 1.0, '31': 1.0, '35': 1.0, '45': 1.0, '60': 1.0, '70': 1.0, '73': 2.0, '79': 2.0, '81': 1.0, '92': 1.0, '95': 1.0, '96': 1.0}, 'passesTotal': {'18': 1.0, '20': 1.0, '21': 1.0, '70': 1.0, '73': 1.0, '79': 2.0, '96': 1.0}, 'passesAccurate': {'18': 1.0, '20': 1.0, '21': 1.0, '70': 1.0, '73': 1.0, '79': 1.0, '96': 1.0}, 'passSuccess': {'18': 100.0, '20': 100.0, '21': 100.0, '70': 100.0, '73': 100.0, '79': 50.0, '96': 100.0}, 'aerialsTotal': {'21': 1.0, '95': 1.0, '6': 1.0, '8': 1.0, '11': 1.0, '15': 1.0, '31': 1.0}, 'aerialsWon': {'21': 1.0, '95': 1.0}, 'aerialSuccess': {'6': 0.0, '8': 0.0, '11': 0.0, '15': 0.0, '31': 0.0}, 'offensiveAerials': {'6': 1.0, '8': 1.0, '21': 1.0, '31': 1.0, '95': 1.0}, 'defensiveAerials': {'11': 1.0, '15': 1.0}, 'foulsCommited': {'1': 1.0, '60': 1.0}, 'dribblesAttempted': {'45': 1.0}, 'dribblesLost': {'45': 1.0}, 'dispossessed': {'81': 1.0}}",,,,,,,2188
