,playerName,goals,total_xG,xG_diff
13,Lautaro Martinez,2.0,0.33585094660520554,1.6641490533947945
4,Declan Rice,2.0,0.5735774599015713,1.4264225400984287
16,Nuno Mendes,2.0,0.7457600273191929,1.2542399726808071
